거래일자,거래시간,연료원,전력거래량(MWh)
2025-01-04,1,LNG,263.024692
2025-01-04,1,기타,38.539726
2025-01-04,1,신재생(기타),163.690132
2025-01-04,1,신재생(태양광),0.000424
2025-01-04,1,신재생(풍력),20.217472
2025-01-04,2,LNG,233.870616
2025-01-04,2,기타,38.816134
2025-01-04,2,신재생(기타),163.781204
2025-01-04,2,신재생(태양광),0.00058
2025-01-04,2,신재생(풍력),17.924048
2025-01-04,3,LNG,218.651314
2025-01-04,3,기타,37.339551
2025-01-04,3,신재생(기타),163.713292
2025-01-04,3,신재생(태양광),0.0004
2025-01-04,3,신재생(풍력),23.912167
2025-01-04,4,LNG,218.555512
2025-01-04,4,기타,39.57024
2025-01-04,4,신재생(기타),163.6682
2025-01-04,4,신재생(태양광),0.00058
2025-01-04,4,신재생(풍력),23.572274
2025-01-04,5,LNG,218.63002
2025-01-04,5,기타,49.543972
2025-01-04,5,신재생(기타),163.582976
2025-01-04,5,신재생(태양광),0.000644
2025-01-04,5,신재생(풍력),29.16867
2025-01-04,6,LNG,218.657292
2025-01-04,6,기타,63.822077
2025-01-04,6,신재생(기타),163.511224
2025-01-04,6,신재생(태양광),0.000472
2025-01-04,6,신재생(풍력),25.757504
2025-01-04,7,LNG,219.268756
2025-01-04,7,기타,54.900701
2025-01-04,7,신재생(기타),163.420332
2025-01-04,7,신재생(태양광),0.000408
2025-01-04,7,신재생(풍력),24.453651
2025-01-04,8,LNG,236.708094
2025-01-04,8,기타,46.925573
2025-01-04,8,신재생(기타),163.519372
2025-01-04,8,신재생(태양광),0.401185
2025-01-04,8,신재생(풍력),21.364679
2025-01-04,9,LNG,224.145614
2025-01-04,9,기타,46.470418
2025-01-04,9,신재생(기타),163.753272
2025-01-04,9,신재생(태양광),26.881805
2025-01-04,9,신재생(풍력),21.11916
2025-01-04,10,LNG,208.27156
2025-01-04,10,기타,51.478629
2025-01-04,10,신재생(기타),163.567316
2025-01-04,10,신재생(태양광),91.252192
2025-01-04,10,신재생(풍력),12.856153
2025-01-04,11,LNG,139.077792
2025-01-04,11,기타,48.328541
2025-01-04,11,신재생(기타),163.577676
2025-01-04,11,신재생(태양광),142.466342
2025-01-04,11,신재생(풍력),4.363649
2025-01-04,12,LNG,76.56845
2025-01-04,12,기타,59.721251
2025-01-04,12,신재생(기타),163.149268
2025-01-04,12,신재생(태양광),209.32713
2025-01-04,12,신재생(풍력),7.599013
2025-01-04,13,LNG,57.31068
2025-01-04,13,기타,68.09276
2025-01-04,13,신재생(기타),150.77186
2025-01-04,13,신재생(태양광),219.697678
2025-01-04,13,신재생(풍력),11.823855
2025-01-04,14,LNG,66.51204
2025-01-04,14,기타,58.015277
2025-01-04,14,신재생(기타),158.688216
2025-01-04,14,신재생(태양광),192.739687
2025-01-04,14,신재생(풍력),3.435939
2025-01-04,15,LNG,77.86107
2025-01-04,15,기타,56.801945
2025-01-04,15,신재생(기타),163.45244
2025-01-04,15,신재생(태양광),177.438364
2025-01-04,15,신재생(풍력),3.050975
2025-01-04,16,LNG,83.27494
2025-01-04,16,기타,61.273737
2025-01-04,16,신재생(기타),163.376924
2025-01-04,16,신재생(태양광),137.567492
2025-01-04,16,신재생(풍력),2.85385
2025-01-04,17,LNG,132.185984
2025-01-04,17,기타,45.644434
2025-01-04,17,신재생(기타),163.464532
2025-01-04,17,신재생(태양광),57.189762
2025-01-04,17,신재생(풍력),1.657558
2025-01-04,18,LNG,226.740626
2025-01-04,18,기타,34.327198
2025-01-04,18,신재생(기타),167.708704
2025-01-04,18,신재생(태양광),5.894986
2025-01-04,18,신재생(풍력),1.334209
2025-01-04,19,LNG,297.005408
2025-01-04,19,기타,48.505145
2025-01-04,19,신재생(기타),165.301756
2025-01-04,19,신재생(태양광),2.031932
2025-01-04,19,신재생(풍력),1.497147
2025-01-04,20,LNG,304.15294
2025-01-04,20,기타,35.490683
2025-01-04,20,신재생(기타),170.173848
2025-01-04,20,신재생(태양광),3.276436
2025-01-04,20,신재생(풍력),1.910821
2025-01-04,21,LNG,306.481742
2025-01-04,21,기타,18.721517
2025-01-04,21,신재생(기타),174.979276
2025-01-04,21,신재생(태양광),3.056
2025-01-04,21,신재생(풍력),0.099384
2025-01-04,22,LNG,306.952506
2025-01-04,22,기타,10.580389
2025-01-04,22,신재생(기타),166.194332
2025-01-04,22,신재생(태양광),2.14392
2025-01-04,22,신재생(풍력),0.022815
2025-01-04,23,LNG,305.348974
2025-01-04,23,기타,2.739325
2025-01-04,23,신재생(기타),166.035632
2025-01-04,23,신재생(태양광),0.443616
2025-01-04,23,신재생(풍력),0.030543
2025-01-04,24,LNG,287.502096
2025-01-04,24,기타,3.998554
2025-01-04,24,신재생(기타),163.511812
2025-01-04,24,신재생(태양광),0.013308
2025-01-04,24,신재생(풍력),0
2025-01-05,1,LNG,256.066706
2025-01-05,1,기타,1.075136
2025-01-05,1,신재생(기타),163.57596
2025-01-05,1,신재생(태양광),0.00036
2025-01-05,1,신재생(풍력),0.006721
2025-01-05,2,LNG,219.084964
2025-01-05,2,기타,4.651418
2025-01-05,2,신재생(기타),163.688428
2025-01-05,2,신재생(태양광),0.00076
2025-01-05,2,신재생(풍력),0.00414
2025-01-05,3,LNG,208.755414
2025-01-05,3,기타,2.618659
2025-01-05,3,신재생(기타),163.644292
2025-01-05,3,신재생(태양광),0.000396
2025-01-05,3,신재생(풍력),0
2025-01-05,4,LNG,148.379896
2025-01-05,4,기타,2.447577
2025-01-05,4,신재생(기타),163.562944
2025-01-05,4,신재생(태양광),0.000608
2025-01-05,4,신재생(풍력),1.368588
2025-01-05,5,LNG,148.16319
2025-01-05,5,기타,9.638756
2025-01-05,5,신재생(기타),163.44454
2025-01-05,5,신재생(태양광),0.000384
2025-01-05,5,신재생(풍력),2.611697
2025-01-05,6,LNG,149.650312
2025-01-05,6,기타,10.449724
2025-01-05,6,신재생(기타),163.306284
2025-01-05,6,신재생(태양광),0.000484
2025-01-05,6,신재생(풍력),1.007681
2025-01-05,7,LNG,156.293242
2025-01-05,7,기타,12.671379
2025-01-05,7,신재생(기타),163.300684
2025-01-05,7,신재생(태양광),0.000352
2025-01-05,7,신재생(풍력),4.575918
2025-01-05,8,LNG,161.551292
2025-01-05,8,기타,13.802322
2025-01-05,8,신재생(기타),163.366248
2025-01-05,8,신재생(태양광),0.01154
2025-01-05,8,신재생(풍력),11.359004
2025-01-05,9,LNG,183.956136
2025-01-05,9,기타,14.376289
2025-01-05,9,신재생(기타),164.032844
2025-01-05,9,신재생(태양광),2.990623
2025-01-05,9,신재생(풍력),17.908684
2025-01-05,10,LNG,178.810408
2025-01-05,10,기타,25.270692
2025-01-05,10,신재생(기타),163.530244
2025-01-05,10,신재생(태양광),15.901919
2025-01-05,10,신재생(풍력),30.264956
2025-01-05,11,LNG,150.249176
2025-01-05,11,기타,26.56365
2025-01-05,11,신재생(기타),163.278204
2025-01-05,11,신재생(태양광),36.230314
2025-01-05,11,신재생(풍력),17.254155
2025-01-05,12,LNG,148.148616
2025-01-05,12,기타,31.669856
2025-01-05,12,신재생(기타),163.290488
2025-01-05,12,신재생(태양광),46.815636
2025-01-05,12,신재생(풍력),13.884818
2025-01-05,13,LNG,148.165934
2025-01-05,13,기타,23.322248
2025-01-05,13,신재생(기타),163.44554
2025-01-05,13,신재생(태양광),59.344877
2025-01-05,13,신재생(풍력),22.466188
2025-01-05,14,LNG,148.037442
2025-01-05,14,기타,26.477567
2025-01-05,14,신재생(기타),163.42504
2025-01-05,14,신재생(태양광),52.348449
2025-01-05,14,신재생(풍력),30.941972
2025-01-05,15,LNG,148.367506
2025-01-05,15,기타,16.414144
2025-01-05,15,신재생(기타),163.07484
2025-01-05,15,신재생(태양광),30.261561
2025-01-05,15,신재생(풍력),26.715936
2025-01-05,16,LNG,186.114796
2025-01-05,16,기타,15.976978
2025-01-05,16,신재생(기타),162.994192
2025-01-05,16,신재생(태양광),18.802601
2025-01-05,16,신재생(풍력),13.622208
2025-01-05,17,LNG,237.931988
2025-01-05,17,기타,10.435294
2025-01-05,17,신재생(기타),162.866816
2025-01-05,17,신재생(태양광),13.989357
2025-01-05,17,신재생(풍력),7.811502
2025-01-05,18,LNG,273.014238
2025-01-05,18,기타,11.935104
2025-01-05,18,신재생(기타),162.850128
2025-01-05,18,신재생(태양광),2.710765
2025-01-05,18,신재생(풍력),9.245513
2025-01-05,19,LNG,289.800658
2025-01-05,19,기타,31.704589
2025-01-05,19,신재생(기타),162.791728
2025-01-05,19,신재생(태양광),0.14807
2025-01-05,19,신재생(풍력),11.1613
2025-01-05,20,LNG,272.339746
2025-01-05,20,기타,32.536777
2025-01-05,20,신재생(기타),162.878008
2025-01-05,20,신재생(태양광),0.486828
2025-01-05,20,신재생(풍력),25.462563
2025-01-05,21,LNG,258.897394
2025-01-05,21,기타,19.439434
2025-01-05,21,신재생(기타),162.976392
2025-01-05,21,신재생(태양광),0.00036
2025-01-05,21,신재생(풍력),12.876872
2025-01-05,22,LNG,244.994358
2025-01-05,22,기타,25.924735
2025-01-05,22,신재생(기타),162.879152
2025-01-05,22,신재생(태양광),0.000368
2025-01-05,22,신재생(풍력),12.242388
