일자,제어지역,누적 시행회차,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-04-29,"전남, 전북, 광주   ",57,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-05-02,"전남, 충남, 경남, 전북, 충북, 경북, 강원, 경기, 광주, 부산, 울산, 대구, 세종, 인천",58,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2025-05-04,"전남, 전북, 충남, 강원, 경남, 충북, 경북, 광주, 부산, 울산, 대전, 대구, 세종",59,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0
2025-05-07,"전남, 전북, 광주   ",60,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-05-08,전북,61,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-05-11,"전남, 전북, 경남, 광주   ",62,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-05-12,"전남, 전북, 광주   ",63,0,0,0,0,0,0,0,0,0,0,0,,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-05-18,"전남, 충남, 충북, 경북, 전북, 강원, 광주, 대전, 대구, 세종",64,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-05-25,"전북, 전남, 경북, 충남, 경남, 광주, 부산, 울산, 대전, 대구, 세종",65,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-06-01,"전남, 강원      ",66,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-06-03,전남,67,0,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2025-06-04,전남,68,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
2025-06-05,전남,69,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-06-11,전남,70,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-09-23,"전남, 강원, 경남",71,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-10-11,"전남, 전북, 광주   ",72,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-10-20,"전남, 전북, 광주   ",73,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
