일자,제어지역,누적 시행회차,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-09-21,전남,60,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-09-23,전남,61,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0,0,0
2025-09-27,전남,62,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-09-28,전남,63,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-03,전남,64,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-04,전남,65,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-05,전남,66,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-06,전남,67,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-07,전남,68,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-08,전남,69,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-09,전남,70,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-11,전남,71,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-12,전남,72,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
